id,ts,region,amount
20260825-000,2026-08-25 08:13:59,east,361.23
20260825-001,2026-08-25 08:54:48,east,606.46
20260825-002,2026-08-25 17:27:06,north,37.81
20260825-003,2026-08-25 19:53:12,east,549.22
20260825-004,2026-08-25 10:35:22,west,784.45
20260825-005,2026-08-25 18:43:06,east,500.80
20260825-006,2026-08-25 11:43:10,west,396.63
20260825-007,2026-08-25 14:36:04,south,73.47
20260825-008,2026-08-25 08:34:11,north,694.26
20260825-009,2026-08-25 11:49:27,west,777.23
20260825-010,2026-08-25 15:39:32,west,416.61
20260825-011,2026-08-25 15:18:10,north,422.96
20260825-012,2026-08-25 14:40:29,north,937.89
20260825-013,2026-08-25 11:27:39,east,456.71
20260825-014,2026-08-25 10:07:05,south,900.57
20260825-015,2026-08-25 18:48:08,south,651.85
20260825-016,2026-08-25 13:13:10,west,879.07
20260825-017,2026-08-25 13:31:31,west,353.97
20260825-018,2026-08-25 14:28:24,east,446.12
20260825-019,2026-08-25 09:55:48,east,479.60
20260825-020,2026-08-25 08:45:36,south,399.31
20260825-021,2026-08-25 10:47:39,east,545.73
20260825-022,2026-08-25 19:51:16,north,492.04
20260825-023,2026-08-25 10:45:55,north,63.74
20260825-024,2026-08-25 10:39:20,north,261.08
20260825-025,2026-08-25 18:38:44,south,100.94
20260825-026,2026-08-25 10:17:05,north,518.89
20260825-027,2026-08-25 11:35:45,south,661.75
20260825-028,2026-08-25 17:58:01,east,73.94
20260825-029,2026-08-25 16:51:14,east,678.99
20260825-030,2026-08-25 09:44:07,east,75.46
20260825-031,2026-08-25 17:18:50,east,32.06
20260825-032,2026-08-25 12:03:54,south,273.38
20260825-033,2026-08-25 14:02:33,east,266.16
20260825-034,2026-08-25 12:04:47,south,6.90
20260825-035,2026-08-25 15:03:15,west,327.98
20260825-036,2026-08-25 16:03:19,west,430.21
20260825-037,2026-08-25 10:23:26,north,301.68
